ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,6,17,"Council Decision on a financial contribution from the Community towards the expenditure incurred by Member States in collecting data, and for financing studies and pilot projects for carrying out the common fisheries policy",V,,,32000D0439,1999,551,COM,1999,CNS,224,,,,,
2000,6,18,"Regulation of the European Parliament and of the Council on a revised Community Eco-label Award",V,,,32000R1980,1996,603,COM,1996,COD,312,,,,,
2000,6,19,"Regulation of the European Parliament and of the Council concerning the financial instrument for the environment (LIFE)",V,,,"32000R1655 ",1998,720,COM,1998,COD,336,,,,,
2000,6,20,"Regulation of the European Parliament and of the Council extending Council Regulation (EC) No 443/97 on operations to aid uprooted people in Asian and Latin American developing countries",V,,,"32000R1880 ",1999,443,COM,1999,COD,194,,,,,
2000,6,21,"Council Decision authorising the United Kingdom of Great Britain and Northern Ireland to apply a reduced rate of excise duty to certain mineral oils, when used for specific purposes, in accordance with the procedure provided for in Article 8(4) of Directive 92/81/EEC",U,,,32000D0434,2000,251,COM,NULL,CS,NULL,,,,,
2000,6,22,"Council Decision authorising the Federal Republic of Germany to apply a reduced rate of excise duty to certain mineral oils, when used for specific purposes, in accordance with the procedure provided for in Article 8(4) of Directive 92/81/EEC",U,,,"32000D0433 ",2000,244,COM,NULL,CS,NULL,,,,,
2000,6,23,"Council Decision amending Decisions 97/375/EC, 97/510/EC, 98/20/EC, 98/23/EC and 98/161/EC",U,,,32000D0435,2000,85,COM,NULL,CS,NULL,,,,,
2000,6,24,"Directive of the European Parliament and of the Council amending Council Directives 85/611/EEC, 92/49/EEC, 92/96/EEC and 93/22/EEC as regards exchange of information with third countries",V,,,"32000L0064 ",1999,748,COM,2000,COD,14,,,,,
2000,7,1,"Directive of the European Parliament and of the Council on energy efficiency requirements for ballasts for fluorescent lighting",V,,,"32000L0055 ",1999,296,COM,1999,COD,127,,Y,,,
2000,7,2,"Council Decision providing supplementary macrofinancial assistance to Moldova",U,,,"32000D0452 ",1999,516,COM,1999,CNS,213,,,,,
2000,7,3,"Council Decision authorising Italy to apply reductions in excise duties on certain mineral oils used for specific purposes, in accordance with the procedure provided for in Article 8(4) of Directive 92/81/EEC",U,,,32000D0446,2000,415,COM,NULL,CS,NULL,,,,,
2000,7,4,"Directive of the European Parliament and of the Council on the protection of workers from risks related to exposure to biological agents at work (seventh individual directive within the meaning of Article16(1) of Directive 89/391/EEC)",V,,,"32000L0054 ",1999,432,COM,1999,COD,188,,,,,
2000,7,5,"Council Decision amending Decision 99/311/EC of 29 April 1999 adopting the third phase of the trans-European
co-operation scheme for higher education (TEMPUS III) (2000-2006)",U,,,"32000D0460 ",2000,184,COM,2000,CNS,74,,,,,
2000,7,6,"Council Regulation amending Regulation (EEC) No 3508/92 establishing an integrated administration and control system for certain Community aid schemes",V,,IT,32000R1593,1999,517,COM,1999,CNS,207,,,,,
2000,7,7,"Council Regulation (EEC) No 1766/92 on the common organisation of the market in cereals",V,,,"32000R1666 ",2000,77-2,COM,2000,CNS,45,,,,,
2000,7,8,"Council Regulation (EC) No 3072/95 on the common organisation of the market in rice",V,,,"32000R1667 ",2000,77-3,COM,2000,CNS,46,,,,,
2000,7,9,"Council Regulation (EEC) No 845/72 laying down special measures to encourage silkworm rearing",V,,,"32000R1668 ",2000,77-6,COM,2000,CNS,48,,,,,
2000,7,10,"Council Regulation (EC) No 2467/98 on the common organisation of the market in sheepmeat and goatmeat",U,,,32000R1669,2000,77-7,COM,2000,CNS,49,,,,,
2000,7,11,"Regulation of the European Parliament and of the Council establishing a system for the identification and registration of bovine animals and regarding the labelling of beef and beef products and repealing Council Regulation (EC) No 820/97",U,,,"32000R1760 ",1999,487-1,COM,1999,COD,204,,,,,
2000,7,12,"Council Directive 2000/47/EC amending
Directives 69/169/EEC and 92/12/EEC as regards temporary quantitative restrictions on beer imports into Finland",U,,,"32000L0047 ",2000,76-1,COM,2000,CNS,38,,,,,
2000,7,13,"Council Regulation amending Regulation (EEC) No 918/83 as regards a temporary derogation for duty-free imports of beer into Finland",V,,,"32000R1671 ",2000,76-2,COM,2000,CNS,39,,,,,
